filename,date,time,size_in_bytes
Screenshot 2024-09-09 114517.png,2024-09-09,11:45:17,3685406
Screenshot 2024-09-09 114548.png,2024-09-09,11:45:48,3658047
Screenshot 2024-09-09 114929.png,2024-09-09,11:49:29,3820987
Screenshot 2024-09-09 115428.png,2024-09-09,11:54:28,3967901
Screenshot 2024-09-09 115842.png,2024-09-09,11:58:42,3595298
Screenshot 2024-09-09 164734.png,2024-09-09,16:47:34,3931650
Screenshot 2024-09-10 112709.png,2024-09-10,11:27:09,4343462
Screenshot 2024-09-10 114423.png,2024-09-10,11:44:23,4073674
Screenshot 2024-09-10 114442.png,2024-09-10,11:44:42,3957893
Screenshot 2024-09-10 114916.png,2024-09-10,11:49:16,4022136
Screenshot 2024-09-10 124343.png,2024-09-10,12:43:43,3803452
Screenshot 2024-09-10 124411.png,2024-09-10,12:44:11,3885045
Screenshot 2024-09-10 124513.png,2024-09-10,12:45:13,3816324
Screenshot 2024-09-10 125041.png,2024-09-10,12:50:41,4020033
Screenshot 2024-09-10 125423.png,2024-09-10,12:54:23,3888704
Screenshot 2024-09-10 130040.png,2024-09-10,13:00:40,3893117
Screenshot 2024-09-10 130211.png,2024-09-10,13:02:11,4031434
Screenshot 2024-09-10 131058.png,2024-09-10,13:10:58,3889544
Screenshot 2024-09-10 132009.png,2024-09-10,13:20:09,3925817
Screenshot 2024-09-10 132020.png,2024-09-10,13:20:20,3912987
Screenshot 2024-09-10 132535.png,2024-09-10,13:25:35,3838482
Screenshot 2024-09-10 133401.png,2024-09-10,13:34:01,3832217
Screenshot 2024-09-10 133555.png,2024-09-10,13:35:55,3946990
Screenshot 2024-09-10 133736.png,2024-09-10,13:37:36,3996143
Screenshot 2024-09-10 133830.png,2024-09-10,13:38:30,3996188
Screenshot 2024-09-10 134431.png,2024-09-10,13:44:31,3869759
Screenshot 2024-09-10 135048.png,2024-09-10,13:50:48,3898983
Screenshot 2024-09-10 135337.png,2024-09-10,13:53:37,3940092
Screenshot 2024-09-10 135943.png,2024-09-10,13:59:43,3926013
Screenshot 2024-09-10 140827.png,2024-09-10,14:08:27,3910723
Screenshot 2024-09-10 140931.png,2024-09-10,14:09:31,3896499
Screenshot 2024-09-10 140949.png,2024-09-10,14:09:49,3886523
Screenshot 2024-09-10 140957.png,2024-09-10,14:09:57,3873427
Screenshot 2024-09-10 141438.png,2024-09-10,14:14:38,4003145
Screenshot 2024-09-10 142206.png,2024-09-10,14:22:06,3890747
Screenshot 2024-09-10 142656.png,2024-09-10,14:26:56,3898291
Screenshot 2024-09-10 142822.png,2024-09-10,14:28:22,3953802
Screenshot 2024-09-10 143044.png,2024-09-10,14:30:44,3877566
Screenshot 2024-09-10 143220.png,2024-09-10,14:32:20,3923339
Screenshot 2024-09-10 143723.png,2024-09-10,14:37:23,3883743
Screenshot 2024-09-10 144245.png,2024-09-10,14:42:45,3926996
Screenshot 2024-09-10 144423.png,2024-09-10,14:44:23,3803088
Screenshot 2024-09-10 150609.png,2024-09-10,15:06:09,3931651
Screenshot 2024-09-10 151004.png,2024-09-10,15:10:04,3856309
Screenshot 2024-09-10 151021.png,2024-09-10,15:10:21,3867844
Screenshot 2024-09-10 151932.png,2024-09-10,15:19:32,3800017
Screenshot 2024-09-10 152832.png,2024-09-10,15:28:32,3999990
Screenshot 2024-09-10 152926.png,2024-09-10,15:29:26,3865606
Screenshot 2024-09-10 152943.png,2024-09-10,15:29:43,3935354
Screenshot 2024-09-10 153126.png,2024-09-10,15:31:26,3894677
Screenshot 2024-09-10 154329.png,2024-09-10,15:43:29,3957905
Screenshot 2024-09-10 154418.png,2024-09-10,15:44:18,4015872
Screenshot 2024-09-10 155848.png,2024-09-10,15:58:48,3947751
Screenshot 2024-09-10 160220.png,2024-09-10,16:02:20,3971208
Screenshot 2024-09-10 160524.png,2024-09-10,16:05:24,3847845
Screenshot 2024-09-10 160602.png,2024-09-10,16:06:02,3906350
Screenshot 2024-09-10 160617.png,2024-09-10,16:06:17,3923409
Screenshot 2024-09-10 160822.png,2024-09-10,16:08:22,3935746
Screenshot 2024-09-10 160850.png,2024-09-10,16:08:50,3856690
Screenshot 2024-09-10 160917.png,2024-09-10,16:09:17,3878609
Screenshot 2024-09-10 161015.png,2024-09-10,16:10:15,3947538
Screenshot 2024-09-10 161025.png,2024-09-10,16:10:25,3929554
Screenshot 2024-09-10 163151.png,2024-09-10,16:31:51,3945512
Screenshot 2024-09-10 163221.png,2024-09-10,16:32:21,3800230
Screenshot 2024-09-10 163607.png,2024-09-10,16:36:07,4041635
Screenshot 2024-09-10 163614.png,2024-09-10,16:36:14,4013309
Screenshot 2024-09-10 163622.png,2024-09-10,16:36:22,3955925
Screenshot 2024-09-10 163644.png,2024-09-10,16:36:44,3912968
Screenshot 2024-09-10 164022.png,2024-09-10,16:40:22,3942932
Screenshot 2024-09-10 164145.png,2024-09-10,16:41:45,3962982
Screenshot 2024-09-10 164205.png,2024-09-10,16:42:05,3911326
Screenshot 2024-09-10 164316.png,2024-09-10,16:43:16,3992549
Screenshot 2024-09-10 164912.png,2024-09-10,16:49:12,3893784
Screenshot 2024-09-10 164920.png,2024-09-10,16:49:20,3971356
Screenshot 2024-09-10 165421.png,2024-09-10,16:54:21,4086443
Screenshot 2024-09-10 165426.png,2024-09-10,16:54:26,4110296
Screenshot 2024-09-10 165431.png,2024-09-10,16:54:31,4146237
Screenshot 2024-09-10 165437.png,2024-09-10,16:54:37,3880654
Screenshot 2024-09-10 165547.png,2024-09-10,16:55:47,3916909
Screenshot 2024-09-10 165556.png,2024-09-10,16:55:56,3798860
Screenshot 2024-09-10 170033.png,2024-09-10,17:00:33,3896420
Screenshot 2024-09-10 170038.png,2024-09-10,17:00:38,3911011
Screenshot 2024-09-10 170045.png,2024-09-10,17:00:45,3924120
Screenshot 2024-09-10 170733.png,2024-09-10,17:07:33,4020680
Screenshot 2024-09-10 170743.png,2024-09-10,17:07:43,3910875
Screenshot 2024-09-10 172704.png,2024-09-10,17:27:04,4006377
Screenshot 2024-09-10 172922.png,2024-09-10,17:29:22,4036426
Screenshot 2024-09-10 172946.png,2024-09-10,17:29:46,4025647
Screenshot 2024-09-10 173029.png,2024-09-10,17:30:29,4006019
Screenshot 2024-09-10 173038.png,2024-09-10,17:30:38,3974801
Screenshot 2024-09-10 173046.png,2024-09-10,17:30:46,3900168
Screenshot 2024-09-10 173051.png,2024-09-10,17:30:51,3926039
