filename,date,time,size_in_bytes
Screenshot 2024-09-12 093302.png,2024-09-12,09:33:02,3404349
Screenshot 2024-09-12 093540.png,2024-09-12,09:35:40,3330747
Screenshot 2024-09-12 093551.png,2024-09-12,09:35:51,3335706
Screenshot 2024-09-12 093836.png,2024-09-12,09:38:36,3446919
Screenshot 2024-09-12 094021.png,2024-09-12,09:40:21,3685873
Screenshot 2024-09-12 094054.png,2024-09-12,09:40:54,3526742
Screenshot 2024-09-12 094104.png,2024-09-12,09:41:04,3427104
Screenshot 2024-09-12 094956.png,2024-09-12,09:49:56,3483002
Screenshot 2024-09-12 095004.png,2024-09-12,09:50:04,3379654
Screenshot 2024-09-12 095034.png,2024-09-12,09:50:34,3484005
Screenshot 2024-09-12 095041.png,2024-09-12,09:50:41,3421162
Screenshot 2024-09-12 095212.png,2024-09-12,09:52:12,3388793
Screenshot 2024-09-12 095218.png,2024-09-12,09:52:18,3400770
Screenshot 2024-09-12 095351.png,2024-09-12,09:53:51,3541610
Screenshot 2024-09-12 095356.png,2024-09-12,09:53:56,3529368
Screenshot 2024-09-12 101132.png,2024-09-12,10:11:32,3661584
Screenshot 2024-09-12 101354.png,2024-09-12,10:13:54,3583897
Screenshot 2024-09-12 101523.png,2024-09-12,10:15:23,3520503
Screenshot 2024-09-12 101818.png,2024-09-12,10:18:18,3822129
Screenshot 2024-09-12 102059.png,2024-09-12,10:20:59,3550881
Screenshot 2024-09-12 102106.png,2024-09-12,10:21:06,3637118
Screenshot 2024-09-12 102147.png,2024-09-12,10:21:47,3487004
Screenshot 2024-09-12 102154.png,2024-09-12,10:21:54,3501992
Screenshot 2024-09-12 102658.png,2024-09-12,10:26:58,3720745
Screenshot 2024-09-12 102704.png,2024-09-12,10:27:04,3720225
Screenshot 2024-09-12 102806.png,2024-09-12,10:28:06,3317421
Screenshot 2024-09-12 103103.png,2024-09-12,10:31:03,3769430
Screenshot 2024-09-12 103611.png,2024-09-12,10:36:11,3590562
Screenshot 2024-09-12 103938.png,2024-09-12,10:39:38,3721322
Screenshot 2024-09-12 103943.png,2024-09-12,10:39:43,3757956
Screenshot 2024-09-12 104406.png,2024-09-12,10:44:06,476604
Screenshot 2024-09-12 104412.png,2024-09-12,10:44:12,457370
Screenshot 2024-09-12 105237.png,2024-09-12,10:52:37,449035
Screenshot 2024-09-12 105243.png,2024-09-12,10:52:43,3614393
Screenshot 2024-09-12 105248.png,2024-09-12,10:52:48,3719706
Screenshot 2024-09-12 105328.png,2024-09-12,10:53:28,3741069
Screenshot 2024-09-12 105343.png,2024-09-12,10:53:43,3820721
Screenshot 2024-09-12 105907.png,2024-09-12,10:59:07,3702554
Screenshot 2024-09-12 105933.png,2024-09-12,10:59:33,3861994
Screenshot 2024-09-12 105937.png,2024-09-12,10:59:37,3881498
Screenshot 2024-09-12 110017.png,2024-09-12,11:00:17,3683306
Screenshot 2024-09-12 110238.png,2024-09-12,11:02:38,4024519
Screenshot 2024-09-12 110715.png,2024-09-12,11:07:15,3912353
Screenshot 2024-09-12 110731.png,2024-09-12,11:07:31,3745409
Screenshot 2024-09-12 112004.png,2024-09-12,11:20:04,3651755
Screenshot 2024-09-12 112015.png,2024-09-12,11:20:15,3683017
Screenshot 2024-09-12 112412.png,2024-09-12,11:24:12,3700171
Screenshot 2024-09-12 112431.png,2024-09-12,11:24:31,3790769
Screenshot 2024-09-12 112933.png,2024-09-12,11:29:33,3679039
Screenshot 2024-09-12 112942.png,2024-09-12,11:29:42,3617235
Screenshot 2024-09-12 113106.png,2024-09-12,11:31:06,3543467
Screenshot 2024-09-12 113114.png,2024-09-12,11:31:14,3710063
Screenshot 2024-09-12 114051.png,2024-09-12,11:40:51,3767880
Screenshot 2024-09-12 114059.png,2024-09-12,11:40:59,3765908
Screenshot 2024-09-12 114209.png,2024-09-12,11:42:09,140203
Screenshot 2024-09-12 114220.png,2024-09-12,11:42:20,3678457
Screenshot 2024-09-12 114311.png,2024-09-12,11:43:11,3781262
Screenshot 2024-09-12 114316.png,2024-09-12,11:43:16,3788471
Screenshot 2024-09-12 114323.png,2024-09-12,11:43:23,3825989
Screenshot 2024-09-12 114416.png,2024-09-12,11:44:16,3746056
Screenshot 2024-09-12 114422.png,2024-09-12,11:44:22,3783357
Screenshot 2024-09-12 114427.png,2024-09-12,11:44:27,3769684
Screenshot 2024-09-12 114453.png,2024-09-12,11:44:53,3767977
Screenshot 2024-09-12 114457.png,2024-09-12,11:44:57,3826339
Screenshot 2024-09-12 114500.png,2024-09-12,11:45:00,3831109
Screenshot 2024-09-12 114516.png,2024-09-12,11:45:16,3831162
Screenshot 2024-09-12 114553.png,2024-09-12,11:45:53,3916325
