filename,date,time,size_in_bytes
Screenshot 2024-09-11 080805.png,2024-09-11,08:08:05,3789524
Screenshot 2024-09-11 082809.png,2024-09-11,08:28:09,3761692
Screenshot 2024-09-11 082814.png,2024-09-11,08:28:14,3679434
Screenshot 2024-09-11 082921.png,2024-09-11,08:29:21,3720576
Screenshot 2024-09-11 082925.png,2024-09-11,08:29:25,3764740
Screenshot 2024-09-11 082932.png,2024-09-11,08:29:32,3722482
Screenshot 2024-09-11 083020.png,2024-09-11,08:30:20,3976087
Screenshot 2024-09-11 083035.png,2024-09-11,08:30:35,3825929
Screenshot 2024-09-11 083231.png,2024-09-11,08:32:31,3865319
Screenshot 2024-09-11 083238.png,2024-09-11,08:32:38,3848640
Screenshot 2024-09-11 085057.png,2024-09-11,08:50:57,3815011
Screenshot 2024-09-11 085617.png,2024-09-11,08:56:17,3507967
Screenshot 2024-09-11 085634.png,2024-09-11,08:56:34,3660237
Screenshot 2024-09-11 085639.png,2024-09-11,08:56:39,3675717
Screenshot 2024-09-11 085644.png,2024-09-11,08:56:44,3721078
Screenshot 2024-09-11 085752.png,2024-09-11,08:57:52,3881285
Screenshot 2024-09-11 085757.png,2024-09-11,08:57:57,3901261
Screenshot 2024-09-11 085802.png,2024-09-11,08:58:02,3884447
Screenshot 2024-09-11 090006.png,2024-09-11,09:00:06,3822469
Screenshot 2024-09-11 090011.png,2024-09-11,09:00:11,3900389
Screenshot 2024-09-11 090018.png,2024-09-11,09:00:18,3802011
Screenshot 2024-09-11 090908.png,2024-09-11,09:09:08,3710861
Screenshot 2024-09-11 090914.png,2024-09-11,09:09:14,3718418
Screenshot 2024-09-11 090920.png,2024-09-11,09:09:20,3720349
Screenshot 2024-09-11 091753.png,2024-09-11,09:17:53,3716122
Screenshot 2024-09-11 091757.png,2024-09-11,09:17:57,3682205
Screenshot 2024-09-11 091802.png,2024-09-11,09:18:02,3704466
Screenshot 2024-09-11 091808.png,2024-09-11,09:18:08,3739457
Screenshot 2024-09-11 091814.png,2024-09-11,09:18:14,3736080
Screenshot 2024-09-11 091834.png,2024-09-11,09:18:34,3541868
Screenshot 2024-09-11 091840.png,2024-09-11,09:18:40,3561927
Screenshot 2024-09-11 091845.png,2024-09-11,09:18:45,3571943
Screenshot 2024-09-11 091922.png,2024-09-11,09:19:22,3594158
Screenshot 2024-09-11 092003.png,2024-09-11,09:20:03,3500727
Screenshot 2024-09-11 092009.png,2024-09-11,09:20:09,3504390
Screenshot 2024-09-11 092015.png,2024-09-11,09:20:15,3507148
Screenshot 2024-09-11 092025.png,2024-09-11,09:20:25,3491998
Screenshot 2024-09-11 092140.png,2024-09-11,09:21:40,3664845
Screenshot 2024-09-11 092641.png,2024-09-11,09:26:41,3943710
Screenshot 2024-09-11 092732.png,2024-09-11,09:27:32,3818170
Screenshot 2024-09-11 092739.png,2024-09-11,09:27:39,3842760
Screenshot 2024-09-11 092805.png,2024-09-11,09:28:05,3984559
Screenshot 2024-09-11 092814.png,2024-09-11,09:28:14,3915329
Screenshot 2024-09-11 093020.png,2024-09-11,09:30:20,3734500
Screenshot 2024-09-11 093028.png,2024-09-11,09:30:28,3706533
Screenshot 2024-09-11 093140.png,2024-09-11,09:31:40,3511515
